e,b,vi,ji,n12,n23,n31,nd,nc,v,vw,j,jw,delta_e
40000.0,1.25,3.0,3,1,0,0,0,0,2.0,9.584e-26,9.0,1.671e-31,-9.74922365060138e-10
40000.0,1.25,3.0,3,1,0,0,0,0,2.0,5.371e-26,7.0,4.882e-07,4.3885101108642743e-10
40000.0,1.25,3.0,3,1,0,0,0,0,1.0,6.127e+00,3.0,3.905e-06,-8.921880095824619e-09
40000.0,1.25,3.0,3,1,0,0,0,0,6.0,2.925e-01,10.0,7.630e-21,-1.6683586456789357e-10
40000.0,1.25,3.0,3,1,0,0,0,0,0.0,9.757e-02,28.0,1.189e-04,-8.595605158201458e-09
40000.0,1.25,3.0,3,1,0,0,0,0,4.0,3.701e-35,4.0,6.140e-01,2.7631417848228423e-09
40000.0,1.5,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,1.2228800506941528e-09
40000.0,1.5,3.0,3,0,0,1,0,0,15.0,2.452e+00,28.0,6.114e-22,1.0695543062322344e-09
40000.0,1.5,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,1.1328351937067715e-09
40000.0,1.5,3.0,3,1,0,0,0,0,0.0,1.641e-19,7.0,1.058e+01,-1.392607713868177e-08
40000.0,1.5,3.0,3,1,0,0,0,0,1.0,4.368e+00,11.0,3.355e-32,-6.167558561087638e-09
40000.0,1.5,3.0,3,1,0,0,0,0,0.0,4.401e-34,7.0,9.879e-33,-1.3427306364000025e-08
40000.0,1.5,3.0,3,1,0,0,0,0,12.0,3.020e-01,3.0,5.870e-09,1.3732677495159606e-10
40000.0,1.5,3.0,3,1,0,0,0,0,11.0,3.682e-04,5.0,6.689e-01,7.835343068807177e-10
40000.0,1.5,3.0,3,1,0,0,0,0,1.0,1.171e-38,9.0,1.929e-07,-1.574474828291983e-09
40000.0,1.5,3.0,3,1,0,0,0,0,13.0,2.936e-20,4.0,4.147e+00,1.350411848316524e-09
40000.0,1.75,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,1.016674966436426e-09
40000.0,1.75,3.0,3,0,0,1,0,0,11.0,8.273e-04,35.0,3.460e-23,6.28660963564176e-10
40000.0,1.75,3.0,3,0,1,0,0,0,2.0,8.448e+00,46.0,6.284e-07,-2.107876373447226e-11
40000.0,1.75,3.0,3,1,0,0,0,0,-0.0,2.243e-38,6.0,3.979e-40,-5.1420533941914925e-09
40000.0,1.75,3.0,3,1,0,0,0,0,0.0,5.762e-07,9.0,5.441e-09,-1.4719404861640584e-08
40000.0,1.75,3.0,3,1,0,0,0,0,0.0,1.758e-04,8.0,5.611e-11,-1.3658919911785361e-08
40000.0,1.75,3.0,3,0,0,1,0,0,12.0,4.540e-05,9.0,4.927e+00,1.1644837941138242e-09
40000.0,1.75,3.0,3,1,0,0,0,0,0.0,3.381e-07,3.0,1.358e-08,-1.1660262422275025e-08
40000.0,1.75,3.0,3,1,0,0,0,0,5.0,8.121e-14,8.0,1.750e-03,1.1168916069781432e-09
40000.0,1.75,3.0,3,1,0,0,0,0,9.0,3.550e-06,7.0,1.270e-20,1.6691105997335143e-09
40000.0,2.0,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,1.1109484755744692e-09
40000.0,2.0,3.0,3,1,0,0,0,0,11.0,1.021e-10,13.0,3.570e-37,-1.5155823818169267e-10
40000.0,2.0,3.0,3,1,0,0,0,0,-0.0,1.825e-12,3.0,4.667e-19,-8.142039528702405e-09
40000.0,2.0,3.0,3,1,0,0,0,0,2.0,5.875e-39,20.0,9.604e+00,-6.332713090029252e-09
40000.0,2.0,3.0,3,1,0,0,0,0,2.0,3.300e+00,15.0,7.557e-07,-4.9001213919819264e-09
40000.0,2.0,3.0,3,1,0,0,0,0,4.0,1.294e-07,21.0,1.117e+01,-4.433800701586499e-09
40000.0,2.0,3.0,3,1,0,0,0,0,3.0,9.633e-02,11.0,2.967e-31,-1.3605113841075323e-09
40000.0,2.0,3.0,3,1,0,0,0,0,3.0,2.333e+00,13.0,7.112e-39,-2.796879491895332e-09
40000.0,2.0,3.0,3,1,0,0,0,0,0.0,3.336e-33,24.0,1.606e-03,-1.5220052856923516e-08
40000.0,2.0,3.0,3,1,0,0,0,0,5.0,1.247e-13,17.0,3.598e-21,-3.859819699969513e-09
